observation_date,AKPOP,ALPOP,ARPOP,AZPOP,CAPOP,COPOP,CTPOP,DCPOP,DEPOP,FLPOP,GAPOP,HIPOP,IAPOP,IDPOP,ILPOP,INPOP,KSPOP,KYPOP,LAPOP,MAPOP,MDPOP,MEPOP,MIPOP,MNPOP,MOPOP,MSPOP,MTPOP,NCPOP,NDPOP,NEPOP,NHPOP,NJPOP,NMPOP,NVPOP,NYPOP,OHPOP,OKPOP,ORPOP,PAPOP,RIPOP,SCPOP,SDPOP,TNPOP,TXPOP,UTPOP,VAPOP,VTPOP,WAPOP,WIPOP,WVPOP
2003-01-01,648.414,4503.491,2724.816,5510.364,35253.159,4528.732,3484.336,568.502,818.003,17004.085,8622.793,1251.154,2941.999,1363.380,12556.006,6196.638,2723.004,4117.170,4521.042,6422.565,5496.269,1306.513,10041.152,5053.572,5709.403,2868.312,919.630,8422.501,638.817,1738.643,1279.840,8601.402,1877.574,2248.850,19175.939,11434.788,3504.892,3547.376,12374.658,1071.342,4150.297,763.729,5847.812,22030.931,2360.137,7366.977,617.858,6104.115,5479.203,1812.295
2004-01-01,659.286,4530.729,2749.686,5652.404,35574.576,4575.013,3496.094,567.754,830.803,17415.318,8769.252,1273.569,2953.635,1391.802,12589.773,6233.007,2734.373,4146.101,4552.238,6412.281,5546.935,1313.688,10055.315,5087.713,5747.741,2889.010,930.009,8553.152,644.705,1749.370,1290.121,8634.561,1903.808,2346.222,19171.567,11452.251,3525.233,3569.463,12410.722,1074.579,4210.921,770.396,5910.809,22394.023,2401.580,7475.575,619.920,6178.645,5514.026,1816.438
2005-01-01,666.946,4569.805,2781.097,5839.077,35827.943,4631.888,3506.956,567.136,845.150,17842.038,8925.922,1292.729,2964.454,1428.241,12609.903,6278.616,2745.299,4182.742,4576.628,6403.290,5592.379,1318.787,10051.137,5119.598,5790.300,2905.943,940.102,8705.407,646.089,1761.497,1298.492,8651.974,1932.274,2432.143,19132.610,11463.320,3548.597,3613.202,12449.990,1067.916,4270.150,775.493,5991.057,22778.123,2457.719,7577.105,621.215,6257.305,5546.166,1820.492
2006-01-01,675.302,4628.981,2821.761,6029.141,36021.202,4720.423,3517.460,570.681,859.268,18166.990,9155.813,1309.731,2982.644,1468.669,12643.955,6332.669,2762.931,4219.239,4302.665,6410.084,5627.367,1323.619,10036.081,5163.555,5842.704,2904.978,952.692,8917.270,649.422,1772.693,1308.389,8661.679,1962.137,2522.658,19104.631,11481.213,3594.090,3670.883,12510.809,1063.096,4357.847,783.033,6088.766,23359.580,2525.507,7673.725,622.892,6370.753,5577.655,1827.912
2007-01-01,680.300,4672.840,2848.650,6167.681,36250.311,4803.868,3527.270,574.404,871.749,18367.842,9349.988,1315.675,2999.212,1505.105,12695.866,6379.599,2783.785,4256.672,4375.581,6431.559,5653.408,1327.040,10001.284,5207.203,5887.612,2928.350,964.706,9118.037,652.822,1783.440,1312.540,8677.885,1990.070,2601.072,19132.335,11500.468,3634.349,3722.417,12563.937,1057.315,4444.110,791.623,6175.727,23831.983,2597.746,7751.000,623.481,6461.587,5610.775,1834.052
2008-01-01,687.455,4718.206,2874.554,6280.362,36604.337,4889.730,3545.579,580.236,883.874,18527.305,9504.843,1332.213,3016.734,1534.320,12747.038,6424.806,2808.076,4289.878,4435.586,6468.967,5684.965,1330.509,9946.889,5247.018,5923.916,2947.806,976.415,9309.449,657.569,1796.378,1315.906,8711.090,2010.662,2653.630,19212.436,11515.391,3668.976,3768.748,12612.285,1055.003,4528.996,799.124,6247.411,24309.039,2663.029,7833.496,624.151,6562.231,5640.996,1840.310
2009-01-01,698.895,4757.938,2896.843,6343.154,36961.229,4972.195,3561.807,592.228,891.730,18652.644,9620.846,1346.717,3032.870,1554.439,12796.778,6459.325,2832.704,4317.074,4491.648,6517.613,5730.388,1329.590,9901.591,5281.203,5961.088,2958.774,983.982,9449.566,664.968,1812.683,1316.102,8755.602,2036.802,2684.665,19307.066,11528.896,3717.572,3808.600,12666.858,1053.646,4589.872,807.067,6306.019,24801.761,2723.421,7925.937,624.817,6667.426,5669.264,1847.775
2010-01-01,713.982,4785.514,2921.998,6407.342,37319.550,5047.539,3579.173,605.282,899.647,18846.143,9712.209,1364.004,3050.819,1570.819,12840.545,6490.555,2858.266,4348.464,4544.635,6566.440,5788.784,1327.651,9877.597,5310.934,5996.089,2970.615,990.730,9574.586,674.752,1829.591,1316.807,8799.451,2064.614,2702.483,19399.956,11539.449,3760.014,3837.614,12711.406,1053.994,4635.846,816.193,6355.518,25241.897,2775.413,8024.004,625.886,6743.009,5690.538,1854.265
2011-01-01,722.349,4799.642,2941.038,6473.416,37636.311,5121.900,3588.632,620.290,907.590,19055.607,9803.630,1379.562,3066.772,1584.272,12867.783,6517.250,2869.677,4370.817,4576.244,6614.218,5840.241,1328.473,9883.053,5346.620,6011.182,2979.147,997.518,9658.913,685.526,1840.914,1320.444,8828.552,2080.707,2713.114,19499.921,11545.735,3788.824,3872.672,12747.052,1053.829,4672.655,823.740,6400.298,25645.504,2814.797,8102.437,627.197,6827.479,5705.840,1856.606
2012-01-01,730.810,4816.632,2952.876,6556.344,37944.551,5193.660,3595.211,635.737,915.518,19302.016,9903.580,1395.199,3076.844,1595.910,12883.029,6538.989,2886.024,4387.865,4602.067,6664.269,5888.375,1328.094,9898.289,5377.500,6026.027,2984.599,1004.168,9751.810,702.227,1853.691,1324.677,8845.671,2087.715,2744.670,19574.362,11550.971,3819.320,3900.102,12769.123,1054.893,4719.027,833.859,6455.752,26084.120,2854.146,8187.456,626.361,6898.599,5720.825,1857.446
2013-01-01,737.626,4831.586,2960.459,6634.690,38253.768,5270.774,3595.792,651.559,924.062,19551.678,9975.592,1408.822,3093.935,1612.053,12895.778,6570.575,2894.306,4406.906,4626.040,6715.158,5925.197,1328.543,9914.802,5414.722,6042.989,2989.839,1014.158,9846.717,723.149,1865.813,1327.272,8857.821,2092.833,2776.956,19626.488,11579.692,3853.891,3924.110,12779.538,1055.560,4766.469,842.751,6496.943,26479.646,2898.773,8255.861,626.603,6966.252,5738.012,1854.768
2014-01-01,737.075,4843.737,2968.759,6732.873,38586.706,5352.637,3595.697,663.603,933.131,19853.880,10071.204,1415.335,3110.643,1632.248,12885.092,6596.019,2901.861,4416.992,4645.938,6764.864,5960.064,1331.217,9932.033,5452.665,6059.130,2991.892,1022.657,9937.295,738.736,1879.955,1334.257,8867.277,2090.236,2818.935,19653.431,11606.573,3879.187,3965.447,12792.392,1056.511,4826.858,849.670,6544.617,26963.092,2938.327,8315.430,625.693,7057.531,5753.199,1850.569
2015-01-01,738.430,4854.803,2979.732,6832.810,38904.296,5454.328,3588.561,677.014,942.065,20219.111,10183.353,1422.999,3122.541,1652.495,12859.585,6611.442,2910.717,4429.126,4666.998,6797.484,5988.528,1329.098,9934.483,5484.002,6075.411,2990.231,1031.495,10037.218,755.537,1892.059,1337.480,8870.312,2090.071,2868.531,19657.321,11622.315,3910.518,4018.542,12789.838,1056.886,4896.006,854.663,6595.354,27468.531,2983.626,8367.303,625.810,7167.287,5762.927,1843.332
2016-01-01,742.575,4866.824,2991.815,6944.767,39149.186,5543.844,3579.830,687.576,949.989,20627.237,10308.442,1428.885,3133.210,1684.036,12821.709,6637.898,2912.977,4440.306,4681.346,6827.280,6007.014,1332.348,9954.117,5525.360,6091.384,2990.595,1042.137,10161.802,756.114,1906.483,1343.694,8873.584,2092.555,2919.555,19636.391,11640.060,3928.143,4093.271,12788.468,1057.816,4963.031,863.693,6651.277,27914.064,3044.241,8417.651,624.366,7299.961,5775.170,1832.435
2017-01-01,740.983,4877.989,3003.855,7048.088,39337.785,5617.421,3575.324,697.079,957.942,20977.089,10417.031,1425.763,3143.734,1719.745,12779.893,6662.068,2910.892,4455.590,4673.673,6863.560,6028.186,1335.743,9976.752,5569.283,6111.382,2990.674,1053.862,10275.758,756.755,1916.998,1350.395,8888.147,2092.844,2972.097,19593.849,11665.706,3933.602,4147.294,12794.679,1056.554,5027.102,873.732,6714.748,28291.024,3103.540,8471.011,625.132,7427.951,5793.147,1818.683
2018-01-01,736.624,4891.628,3012.161,7164.228,39437.463,5697.155,3574.561,704.147,966.985,21254.926,10519.389,1423.102,3149.900,1752.074,12724.685,6698.481,2912.748,4464.273,4664.450,6885.720,6042.153,1340.123,9987.286,5608.762,6125.986,2982.879,1061.818,10391.358,760.062,1925.512,1355.064,8891.730,2093.754,3030.725,19544.098,11680.892,3943.488,4183.538,12809.107,1059.338,5091.702,879.386,6778.180,28624.564,3155.153,8510.920,624.802,7526.793,5809.319,1805.953
2019-01-01,733.603,4907.965,3020.985,7291.843,39437.610,5758.486,3566.022,708.253,976.668,21492.056,10628.020,1415.615,3159.596,1789.060,12667.017,6731.010,2912.635,4472.345,4658.285,6894.883,6054.954,1345.770,9984.795,5640.053,6140.475,2978.227,1070.123,10501.384,763.724,1932.571,1360.783,8891.258,2099.634,3090.771,19463.131,11696.507,3960.676,4216.116,12798.883,1058.158,5157.702,887.127,6830.325,28986.794,3203.383,8556.642,624.046,7614.024,5824.581,1795.263
2020-01-01,733.017,5033.094,3014.546,7187.135,39521.958,5787.129,3579.918,670.917,991.928,21592.035,10732.888,1451.252,3191.141,1849.415,12799.088,6790.497,2938.172,4508.318,4652.301,6994.598,6177.935,1364.571,10072.703,5710.735,6154.744,2958.536,1087.230,10449.652,779.563,1963.387,1378.756,9272.794,2118.606,3116.967,20105.171,11798.905,3965.415,4243.779,12996.143,1096.530,5132.249,887.948,6927.904,29239.570,3284.077,8637.615,642.977,7727.209,5897.375,1791.646
2021-01-01,734.420,5049.196,3026.870,7274.078,39142.565,5814.036,3606.607,669.256,1005.062,21831.949,10792.060,1447.029,3198.613,1904.848,12700.641,6815.907,2938.338,4507.583,4627.971,7000.474,6179.403,1378.931,10041.351,5718.660,6171.374,2947.209,1106.522,10564.320,777.966,1964.537,1387.677,9270.541,2117.333,3148.141,19848.276,11767.344,3992.238,4254.280,13015.571,1097.246,5194.274,896.492,6965.740,29570.351,3339.738,8658.910,647.210,7743.760,5881.608,1785.618
2022-01-01,734.442,5076.181,3047.704,7377.566,39142.414,5850.935,3617.925,676.725,1020.625,22379.312,10931.805,1440.359,3202.820,1944.299,12621.821,6844.545,2937.324,4519.233,4593.687,7022.468,6192.440,1390.922,10050.877,5721.621,6179.414,2941.939,1122.095,10710.793,781.057,1972.246,1396.678,9295.227,2113.868,3176.116,19703.747,11777.874,4026.229,4247.372,12984.990,1099.498,5287.935,909.723,7062.217,30113.488,3391.011,8683.414,648.142,7794.123,5903.975,1774.122
2023-01-01,736.510,5117.673,3069.463,7473.027,39198.693,5901.339,3643.023,687.324,1036.423,22904.868,11064.432,1441.387,3218.414,1971.122,12642.259,6880.131,2951.500,4550.595,4588.071,7066.568,6217.062,1399.646,10083.356,5753.048,6208.038,2943.172,1131.302,10881.189,789.047,1987.864,1402.199,9379.642,2121.164,3214.363,19737.367,11824.034,4063.882,4253.653,13017.721,1103.429,5387.830,918.305,7148.304,30727.890,3443.222,8734.685,648.708,7857.320,5930.405,1770.495
2024-01-01,740.133,5157.699,3088.354,7582.384,39431.263,5957.493,3675.069,702.250,1051.917,23372.215,11180.878,1446.146,3241.488,2001.619,12710.158,6924.275,2970.606,4588.372,4597.740,7136.171,6263.220,1405.012,10140.459,5793.151,6245.466,2943.045,1137.233,11046.024,796.568,2005.465,1409.032,9500.851,2130.256,3267.467,19867.248,11883.304,4095.393,4272.371,13078.751,1112.308,5478.831,924.669,7227.750,31290.831,3503.613,8811.195,648.493,7958.180,5960.975,1769.979
