"","STATE","YEAR","RATE","DEATHS","POP","GROSSDOMESTICPRODUCT","PERCAPITAPERSONALINCOME","HOMEOWNERSHIPRATE","PERCENTBACHELORSDEGREEORHIGHER","STATEGOVTAXCOLLECTIONSTOTALTAXES"
"1","AL",2014,15.2,723,4843.737,197064.4,36722,72.1,23.5,9296846
"2","AL",2015,15.7,736,4854.803,203113.3,38189,70,24.2,9755439
"3","AL",2016,16.2,756,4866.824,208824.3,38704,69.7,24.7,10186743
"4","AL",2017,18,835,4877.989,216615.5,39968,70,25.5,10417084
"5","AL",2018,16.6,775,4891.628,226263.8,41324,70.3,25.5,11055577
"6","AL",2019,16.3,768,4907.965,234798.2,42998,70.7,26.3,11782220
"7","AL",2020,22.3,1029,5033.094,235325.3,45854,74.8,27.8,12413368
"8","AL",2021,30.1,1408,5049.196,260018.4,50483,73.4,27.4,14251329
"9","AL",2022,31.5,1492,5076.181,284949.1,51683,72.1,28.8,16324900
"10","AK",2014,16.8,124,737.075,56587.4,55098,64.9,28,3392869
"11","AK",2015,16,122,738.43,51574.2,56714,62.3,29.7,1363350
"12","AK",2016,16.8,128,742.575,51121.8,55536,65.2,29.6,896921
"13","AK",2017,20.2,147,740.983,53550.9,56500,65.5,28.8,1208929
"14","AK",2018,14.6,110,736.624,54762,58997,63.7,30.2,1656352
"15","AK",2019,17.8,132,733.603,54549.6,60504,62.6,30.2,1780911
"16","AK",2020,22,160,733.017,51283.4,61858,64.1,31.9,1337059
"17","AK",2021,35.6,260,734.42,58943.5,65563,64,32.8,1053400
"18","AK",2022,34.3,254,734.442,66271.9,69015,65.1,30.6,2941280
"19","AZ",2014,12.6,356,6732.873,286676,38268,63.5,27.6,13424271
"20","AZ",2015,19,1274,6832.81,298942.2,39888,61.7,27.7,13721262
"21","AZ",2016,20.3,1382,6944.767,313787.1,41173,61.9,28.9,15019709
"22","AZ",2017,22.2,1532,7048.088,333099,43255,64.4,29.4,15299010
"23","AZ",2018,23.8,1670,7164.228,353671,45297,65.7,29.7,16310140
"24","AZ",2019,26.8,1907,7291.843,375376.7,47718,65.8,30.2,18163903
"25","AZ",2020,35.8,2550,7187.135,388956.7,52042,68.7,33,17640435
"26","AZ",2021,38.7,2730,7274.078,436778.6,56976,65.2,32.4,20757247
"27","AZ",2022,37.2,2664,7377.566,484052.2,58968,68.1,33,24410195
"28","AR",2014,18.2,1211,2968.759,117388.7,38220,65.4,21.4,8917322
"29","AR",2015,13.8,392,2979.732,118573.6,39267,67.1,21.8,9168570
"30","AR",2016,14,401,2991.815,120987.4,40181,67.6,22.4,9430833
"31","AR",2017,15.5,446,3003.855,123882.6,41403,65,23.4,9516281
"32","AR",2018,15.7,444,3012.161,129213.8,43031,64.7,23.3,9819284
"33","AR",2019,13.5,388,3020.985,132625.8,43737,65.3,23.3,10217866
